feature_i,feature_j,residual_covariance,residual_correlation,raw_obs_correlation
heart_rate,heart_rate,0.989669,1.000000,1.000000
heart_rate,respiratory_rate,0.234972,0.240945,0.254639
heart_rate,spo2,-0.073249,-0.077349,-0.079014
heart_rate,systolic_bp,-0.107095,-0.110431,-0.125373
heart_rate,diastolic_bp,0.073858,0.074563,0.070299
respiratory_rate,heart_rate,0.234972,0.240945,0.254639
respiratory_rate,respiratory_rate,0.960965,1.000000,1.000000
respiratory_rate,spo2,-0.124598,-0.133524,-0.135952
respiratory_rate,systolic_bp,0.034344,0.035939,0.013005
respiratory_rate,diastolic_bp,-0.024723,-0.025329,-0.022412
spo2,heart_rate,-0.073249,-0.077349,-0.079014
spo2,respiratory_rate,-0.124598,-0.133524,-0.135952
spo2,spo2,0.906141,1.000000,1.000000
spo2,systolic_bp,-0.049383,-0.053217,-0.063122
spo2,diastolic_bp,0.009866,0.010409,0.002264
systolic_bp,heart_rate,-0.107095,-0.110431,-0.125373
systolic_bp,respiratory_rate,0.034344,0.035939,0.013005
systolic_bp,spo2,-0.049383,-0.053217,-0.063122
systolic_bp,systolic_bp,0.950304,1.000000,1.000000
systolic_bp,diastolic_bp,0.525385,0.541279,0.539399
diastolic_bp,heart_rate,0.073858,0.074563,0.070299
diastolic_bp,respiratory_rate,-0.024723,-0.025329,-0.022412
diastolic_bp,spo2,0.009866,0.010409,0.002264
diastolic_bp,systolic_bp,0.525385,0.541279,0.539399
diastolic_bp,diastolic_bp,0.991403,1.000000,1.000000
